@@,name,position
->,Yafes Osman->ARCH. YEAFESH OSMAN,Minister of Science and Technology
---,Sheikh Hasina,Prime Minister of Bangladesh
---,Abul Kalam Abdul Momen,Minister of Foreign Affairs of Bangladesh
+++,MR. ZAHID MALEQUE,Minister of Health and Family Welfare
+++,MR. TIPU MUNSHI,Minister of Commerce
+++,MR. SAIFUZZAMAN CHOWDHURY,Minister of Land
+++,MR. SADHAN CHANDRA MAJUMDER,Minister of Food
+++,MR. S.M REZAUL KARIM,Minister of Fisheries and Livestock
+++,MR. OBAIDUL QUADER,Minister of Road Transport and Bridges
+++,MR. NURUZZAMAN AHMED,Minister of Social Welfare
+++,MR. NURUL MAJID MAHMUD HUMAYUN,Minister of Industries
+++,MR. MUSTAFA JABBAR,Minister for Post and Telecommunications Division
+++,MR. MUSTAFA JABBAR,"Minister of Posts, Telecommunications and Information Technology"
+++,MR. MUHAMMAD ABDUR RAZZAQUE,Minister of Agriculture
+++,MR. MOHAMMAD HASAN MAHMUD,Minister of Information and Broadcasting
+++,MR. MD.TAZUL ISLAM,Minister for Local Government Division
+++,MR. MD.TAZUL ISLAM,"Minister of Local Government, Rural Development and Co-operatives"
+++,MR. MD. SHAHAB UDDIN,"Minister of Environment, Forest and Climate Change"
+++,MR. MD. NURUL ISLAM SUJAN,Minister of Railways
+++,MR. M. A. MANNAN,Minister of Planning
+++,MR. IMRAN AHMAD,Minister of Expatriates' Welfare and Overseas Employment
+++,MR. GOLAM DASTAGIR GAZI,Minister of Textiles and Jute
+++,MR. BIR BAHADUR USHWE SING,Minister of Chittagong Hill Tracts Affairs
+++,MR. ASADUZZAMAN KHAN,Minister of Home Affairs
+++,MR. ANISUL HUQ,"Minister of Law, Justice and Parliamentary Affairs"
+++,MR. A.K ABDUL MOMEN,Minister of Foreign Affairs
+++,MR. A. K. M MOZAMMEL HUQ,Minister of Liberation War Affairs
+++,MR. A H M MUSTAFA KAMAL,Minister of Finance
+++,DR. DIPU MONI,Minister of Education
