item,itemLabel,startDate,endDate
Q2641682,Abu Sadat Mohammad Sayem,1972-12-16,1975-11-05
Q20646261,Syed A. B. Mahmud Hossain,1975-11-18,1978-01-31
Q20823987,Kemaluddin Hossain,1978-02-01,1982-04-11
Q27661809,Fazle Kaderi Mohammad Abdul Munim,1982-04-12,1989-11-30
Q20824244,Badrul Haider Chowdhury,1989-12-01,1990-01-01
Q465481,Shahabuddin Ahmed,1990-01-14,1995-01-31
Q2093175,M.H. Rahman,1995-02-01,1995-04-30
Q20823946,ATM Afzal,1995-05-01,1999-05-31
Q6943273,Mustafa Kamal,1999-06-01,1999-12-31
Q2093148,Latifur Rahman,2000-01-01,2001-02-28
Q20824325,Mahmudul Amin Choudhury,2001-03-01,2002-06-17
Q20824318,Mainur Reza Chouwdhury,2002-06-18,2003-06-22
Q20824019,Khondokar Mahmud Hasan,2003-06-23,2004-01-26
Q20824696,Syed Jillur Rahim Mudasser Husain,2004-01-27,2007-02-28
Q20824343,Md. Ruhul Amin,2007-03-01,2008-05-31
Q20823952,M M Ruhul Amin,2008-06-01,2009-12-22
Q20824342,Md. Tafazzul Islam,2009-12-23,2010-02-07
Q20824356,Mohammad Fazlul Karim,2010-02-08,2010-09-30
Q20823945,A.B.M. Khairul Haque,2010-10-01,2011-05-17
Q20824341,Md. Muzammel Hossain,2011-05-18,2015-01-16
Q18759051,Surendra Kumar Sinha,2015-01-17,2017-11-11
Q60441145,Md. Abdul Wahhab Miah (acting),2017-11-11,2018-02-02
Q47536204,Syed Mahmud Hossain,2018-02-02,2021-12-30
